LONC_CODE,DTA_DESC
74774-1,Glucose SerPlBld-mCnc - Glucose [Mass/volume] in Serum, Plasma or Blood
26453-1,RBC # Bld - Erythrocytes [#/volume] in Blood
30428-7,MCV RBC - MCV [Entitic volume]
28542-9,PMV Bld - Platelet mean volume [Entitic volume] in Blood
77143-6,CO2 SerPlBld-sCnc - Carbon dioxide, total [Moles/volume] in Serum, Plasma or Blood
77142-8,Potassium SerPlBld-sCnc - Potassium [Moles/volume] in Serum, Plasma or Blood
28540-3,MCHC RBC-mCnc - MCHC [Mass/volume]
28539-5,MCH RBC Qn - MCH [Entitic mass]
30392-5,nRBC # Bld - Nucleated erythrocytes [#/volume] in Blood
22726-4,Creat Spec-sCnc - Creatinine [Moles/volume] in Specimen
26449-9,Eosinophil # Bld - Eosinophils [#/volume] in Blood
35706-1,Albumin MFr SerPl - Albumin/Protein.total in Serum or Plasma
69405-9,GFR/BSA.pred SerPlBld-ArVRat - Glomerular filtration rate/1.73 sq M.predicted [Volume Rate/Area] in Serum, Plasma or Blood
1783-0,ALP Bld-cCnc - Alkaline phosphatase [Enzymatic activity/volume] in Blood
13537-6,Deprecated Prot Plas-mCnc - Deprecated Protein [Mass/volume] in Plasma
20585-6,Lymphocytes # Spec Auto - Lymphocytes [#/volume] in Specimen by Automated count
48710-8,Eosinophil Spec Ql Micro - Eosinophils [Presence] in Specimen by Light microscopy
61152-5,Albumin SerPl BCP-mCnc - Albumin [Mass/volume] in Serum or Plasma by Bromocresol purple (BCP) dye binding method
27297-1,Leukocyte esterase Ur-aCnc - Leukocyte esterase [Units/volume] in Urine
33513-3,Sp Gr Spec - Specific gravity of Specimen
62487-4,Urobilinogen Ur Ql Strip.auto - Urobilinogen [Presence] in Urine by Automated test strip
32323-8,Ketones Spec-sCnc - Ketones [Moles/volume] in Specimen
77202-0,Laboratory comment Report - Laboratory comment [Text] in Report Narrative
27353-2,Est. average glucose Bld gHb Est-mCnc - Glucose mean value [Mass/volume] in Blood Estimated from glycated hemoglobin
70218-3,Trigl Bld-sCnc - Triglyceride [Moles/volume] in Blood
16616-5,HDLc/LDLc SerPl - Cholesterol in HDL/Cholesterol in LDL [Mass Ratio] in Serum or Plasma
70204-3,NonHDLc SerPl-sCnc - Cholesterol non HDL [Moles/volume] in Serum or Plasma
33052-2,WBC Ur Ql - Leukocytes [Presence] in Urine
77974-4,Hospitalized for condition - Whether the patient was hospitalized for condition of interest
48425-3,Troponin T Bld-mCnc - Troponin T.cardiac [Mass/volume] in Blood
82810-3,Pregnancy status - Pregnancy status
95419-8,Has symptoms for condition - Whether the patient has symptoms related to condition of interest
95418-0,Employed in healthcare setting - Whether patient is employed in a healthcare setting
95421-4,Resides in a congregate care setting - Whether patient resides in a congregate care setting
95420-6,Admitted to ICU for condition - Whether the patient was admitted to intensive care unit (ICU) for condition of interest
41995-2,HbA1c Bld-mCnc - Hemoglobin A1c [Mass/volume] in Blood
13654-9,Squamous # UrnS - Epithelial cells.squamous [#/volume] in Urine sediment
95417-2,First test for condition of interest - Whether this is the patient's first test for condition of interest
71853-6,SaO2 DF Bld - Oxygen saturation [Pure mass fraction] in Blood
59032-3,Lactate Bld-mCnc - Lactate [Mass/volume] in Blood
776-5,PMV Bld Rees-Ecker - Platelet mean volume [Entitic volume] in Blood by Rees-Ecker
58445-8,Manual dif comment Bld-Imp - Manual differential comment [Interpretation] in Blood Narrative
13897-4,TSH Beta SerPl-mCnc - Thyrotropin.beta subunit [Mass/volume] in Serum or Plasma
30391-7,RBC # Ur - Erythrocytes [#/volume] in Urine
30433-7,Metamyelocytes # Bld - Metamyelocytes [#/volume] in Blood
30446-9,Myelocytes # Bld - Myelocytes [#/volume] in Blood
36903-3,C trach+GC DNA Spec NAA+probe - Chlamydia trachomatis and Neisseria gonorrhoeae DNA [Identifier] in Specimen by NAA with probe detection
33218-9,Bacteria #/area UrnS Auto - Bacteria [#/area] in Urine sediment by Automated count
38892-6,Anisocytosis Bld Ql - Anisocytosis [Presence] in Blood
67151-1,Troponin T SerPl HS-mCnc - Troponin T.cardiac [Mass/volume] in Serum or Plasma by High sensitivity method
88294-4,GFR/BSA pred.nonblk SerPl CKD-EPI-ArVRat - Glomerular filtration rate/1.73 sq M.predicted among non-blacks [Volume Rate/Area] in Serum, Plasma or Blood by Creatinine-based formula (CKD-EPI)
88293-6,GFR/BSA pred.blk SerPlBld CKD-EPI-ArVRat - Glomerular filtration rate/1.73 sq M.predicted among blacks [Volume Rate/Area] in Serum, Plasma or Blood by Creatinine-based formula (CKD-EPI)
26507-4,Neuts Band # Bld - Band form neutrophils [#/volume] in Blood
75940-7,Potassium Bld-mCnc - Potassium [Mass/volume] in Blood
26523-1,Promyelocytes # Bld - Promyelocytes [#/volume] in Blood
40988-8,RSV RNA Spec Ql NAA+probe - Respiratory syncytial virus RNA [Presence] in Specimen by NAA with probe detection
13046-8,Variant Lymphs/leuk NFr Bld - Variant lymphocytes/100 leukocytes in Blood
38908-0,Poikilocytosis Bld Ql Auto - Poikilocytosis [Presence] in Blood by Automated count
30376-8,Blasts # Bld - Blasts [#/volume] in Blood
2505-6,Iron/TIBC SerPl - Iron/Iron binding capacity.total [Mass Ratio] in Serum or Plasma
26477-0,Variant Lymphs # Bld - Variant lymphocytes [#/volume] in Blood
19360-7,Cocaine Ur Ql Cfm - Cocaine [Presence] in Urine by Confirmatory method
14308-1,Amphetamines Ur Ql Scn>1000 ng/mL - Amphetamines [Presence] in Urine by Screen method >1000 ng/mL
3107-0,Urobilinogen Ur-mCnc - Urobilinogen [Mass/volume] in Urine
35672-5,Bilirub Direct MFr SerPl - Bilirubin.direct/Bilirubin.total in Serum or Plasma
71840-3,OxyHgb MFr.DF Bld - Oxyhemoglobin/Hemoglobin.total [Pure mass fraction] in Blood
19048-8,nRBC/100 WBC Bld-Rto - Nucleated erythrocytes/100 leukocytes [Ratio] in Blood
35663-4,Prot ?Tm Ur-mCnc - Protein [Mass/volume] in Urine collected for unspecified duration
26461-4,nRBC/100 RBC NFr Bld - Nucleated erythrocytes/100 erythrocytes in Blood
89575-5,Troponin T SerPl HS-Imp - Troponin T.cardiac [Interpretation] in Serum or Plasma Qualitative by High sensitivity method
77140-2,Creat SerPlBld-sCnc - Creatinine [Moles/volume] in Serum, Plasma or Blood
30424-6,Macrocytes Bld Ql - Macrocytes [Presence] in Blood
60424-9,HPIV4 Ag Spec Ql - Parainfluenza virus 4 Ag [Presence] in Specimen
31928-5,HPIV3 Ag Spec Ql - Parainfluenza virus 3 Ag [Presence] in Specimen
62426-2,Bordetella DNA pnl Spec NAA+probe - Bordetella sp DNA panel - Specimen by NAA with probe detection
31924-4,HPIV1 Ag Spec Ql - Parainfluenza virus 1 Ag [Presence] in Specimen
31926-9,HPIV2 Ag Spec Ql - Parainfluenza virus 2 Ag [Presence] in Specimen
799-7,RBC # Ur Manual - Erythrocytes [#/volume] in Urine by Manual count
80596-0,Rhinovirus 5' UTR RNA Nph Ql NAA+probe - Rhinovirus 5' UTR RNA [Presence] in Nasopharynx by NAA with probe detection
77026-3,FLUAV H1 RNA Nph Ql NAA+probe - Influenza virus A H1 RNA [Presence] in Nasopharynx by NAA with probe detection
30434-5,Microcytes Bld Ql - Microcytes [Presence] in Blood
50959-6,IAT SerPl Ql - Indirect antiglobulin test.unspecified reagent [Presence] in Serum or Plasma
5642-4,Ethanol SerPl Ql - Ethanol [Presence] in Serum or Plasma
38381-0,FLUAV cDNA Spec Ql NAA+probe - Influenza virus A cDNA [Presence] in Specimen by NAA with probe detection
74097-7,Tacrolimus Bld LC/MS/MS-mCnc - Tacrolimus [Mass/volume] in Blood by LC/MS/MS
19767-3,Cytologist Cvx/Vag Cyto - Cytologist who read Cyto stain of Cervical or vaginal smear or scraping
16285-9,Creat/Prot Ur - Creatinine/Protein [Mass Ratio] in Urine
94565-9,SARS-CoV-2 RNA Nph Ql NAA+non-probe - SARS-CoV-2 (COVID-19) RNA [Presence] in Nasopharynx by NAA with non-probe detection
33929-1,Tacrolimus Trough SerPl-mCnc - Tacrolimus [Mass/volume] in Serum or Plasma --trough
76630-3,Amylase Bld-cCnc - Amylase [Enzymatic activity/volume] in Blood
90441-7,B pert+parapert DNA Pnl Nph - Bordetella pertussis and Bordetella parapertussis DNA panel - Nasopharynx
33223-9,Hyaline Casts #/area UrnS Auto - Hyaline casts [#/area] in Urine sediment by Automated count
19764-0,Stat of Adq Cvx/Vag Cyto-Imp - Statement of adequacy [Interpretation] of Cervical or vaginal smear or scraping by Cyto stain
89578-9,Troponin I SerPl HS-Imp - Troponin I.cardiac [Interpretation] in Serum or Plasma Qualitative by High sensitivity method
715-3,Normoblasts # Bld - Normoblasts [#/volume] in Blood
31157-1,COHgb Bld-mCnc - Carboxyhemoglobin [Mass/volume] in Blood
19166-8,CEA SerPl-aCnc - Carcinoembryonic Ag [Units/volume] in Serum or Plasma
85818-3,Clot form+Clot time Bld TEG - Clot formation+Clotting time of Blood by Thromboelastography
